case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
cluster-64-misses,scan,1,contract,0,0,native,0,a73279d0ecc6c537e019ea7ad029eeef4b7d4c5c45c99b1297983781dba8a63c,29b6e5deff5a0c67e7fe788f319f6c7087fc92b01dca3874ad2eccf74d9fbaa4
cluster-64-misses,scan,3,contract,0,0,native,0,0e2507f471d3e606bef6156706bbc9b8f49280c6de9408b7252af730c0a1b321,70c398deb374f4c1604f01232f1ca3a790ee5365518a8bbdf2c0a53ec3141a01
cluster-64-churn,hash,0,contract,0,0,native,0,6c01697b955075f30ddbf3c1522cf4ec016b7b98ad5f4d3859a3c0de8ca106c1,53a07a80eb9bcc8483f08ef577c203f6feefeb158314aabb4e48bf0ed2536181
cluster-64-churn,hash,1,contract,0,0,native,0,cec65c75c27d74c7640a3a1139d42be8d05da02d6f80ebbd3c3aa30c7c31d1d0,c730aaf0f9177cfdab3fb67842fe165aa9bee302810a44e47add8c71ac7f8b20
cluster-64-churn,hash,3,contract,0,0,native,0,f8b94209a464d01e2d9e49f03a3d07a0fbd8aec952016631f741aef900bdf3b6,53e1753cfa0b3c03db15b646089f9f5538812a0a31eb458c7d78ce6be08e2c39
cluster-64-churn,scan,0,contract,0,0,native,0,6c01697b955075f30ddbf3c1522cf4ec016b7b98ad5f4d3859a3c0de8ca106c1,2354b22879277a86bc1e0a0b01438144ceb98f4ba71de79ae4396b96b00e8754
cluster-64-churn,scan,1,contract,0,0,native,0,cec65c75c27d74c7640a3a1139d42be8d05da02d6f80ebbd3c3aa30c7c31d1d0,d27f0ca6bea16e3e00412eeb31a17acefddcda0a1b7c397931672b78c2b69dd9
cluster-64-churn,scan,3,contract,0,0,native,1,f8b94209a464d01e2d9e49f03a3d07a0fbd8aec952016631f741aef900bdf3b6,51a658a7f2569ce4de5b64d9f35c9c7783b2581534444ed5180830275f65a81b
random-8-hits,hash,0,contract,0,0,ubsan,0,0a25afda35e7c3f55fb397eb741477b91afe6b39798080095e4e63997bc7302e,8ce2930c3e3101582b784cf77af665188831ab068f51a427c23b290d76c32cbd
random-8-hits,hash,1,contract,0,0,ubsan,0,0b2ac9d6dc9898ec226dc9b7a8e6bf470ea9911b900e58fc81cd0c7d92057aa3,63aa53b7645a802f4ef6fe8c36d5c2bb17ff35d53c7d680d046a6a1e00c2f5c7
random-8-hits,hash,3,contract,0,0,ubsan,0,4853ab7a2035da03b1ef1c16271aaae6e998dd109a710f704d055eb09361af50,e8a56d11f750a116678a4e4b85d540ca98da3f3ead4202c9ced298c8ae8c506a
random-8-hits,scan,0,contract,0,0,ubsan,0,0a25afda35e7c3f55fb397eb741477b91afe6b39798080095e4e63997bc7302e,35b0d9eb5e30100afd84750054763e67b23260d0ed47239192f6fb687b6dba87
random-8-hits,scan,1,contract,0,0,ubsan,0,0b2ac9d6dc9898ec226dc9b7a8e6bf470ea9911b900e58fc81cd0c7d92057aa3,1f0bfb3f1248a84093a952aa3fca3611116bef52e2376dd6bde1f99256f215d3
