roots,simulations,capacity,physical_capacity,sample,order,peak_rss_kib,process_seconds,coordinator_seconds,stdout_sha256,work_sha256
16,64,4096,4096,2,3,20860,0.329555592,0.071,f6f312aede11f1f8901c3174f552cbf1f9ec6ad3845c5a3c714452d37fa3d728,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,4097,8192,2,4,29004,0.330027316,0.071,b89cb8c1302151603606dd6f9a9433b4528becb1848a40210bef61704db4d9cb,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,16384,16384,3,0,45392,0.333073976,0.071,53538fab8df50dde11c50baf74962da60f16cc26eaeb2434ce2dd9fc1dc68ad6,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,65536,65536,3,1,143516,0.366111631,0.072,1dff071afa0ccb37c404215b0b370c54d52c675e2b1d701fced605de1696fddd,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,4096,4096,3,2,20868,0.327863261,0.071,19164ffe81c08f4f4af9862750abf2c472ebfcf7972785877fdec33ee205da58,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,4097,8192,3,3,29016,0.328891368,0.071,bc8cc70623cfe9a3097352a9804e56245bacf508d96d6167cf09afcedbdc03ff,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,8192,8192,3,4,29096,0.330550018,0.072,b13f9f25ef73a1b521ccc2bc89f75bf2d0b31390877feaf96f357358d06369c9,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,65536,65536,4,0,143644,0.353538708,0.071,e937c0f6cb3ca26f55b999eb9e13b3fdf26da642c7bf8ad9c551455edc15ab9f,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,4096,4096,4,1,20876,0.327161764,0.071,ad5f8b2b23b10adc9658a13020552d602e542ff7ff9919dbf1f45cffbf1dc2e5,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,4097,8192,4,2,28988,0.330341985,0.071,819c6c9ccf3ccee6ca1a4c3bbcbfe318db5bce5531267cc084bdfbd322a65d53,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,8192,8192,4,3,29008,0.329254027,0.072,7527e8946a471cc8f03131fbe0a618db459db25b99af983ee01c901660b1b376,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,16384,16384,4,4,45348,0.332941788,0.072,26c1f75a20d55ad02507b1d61a5d31eee46612b9262eb63ffc3d70f7af61b152,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
