case,async,pair,order,arm,repeats,work_sha256,repeat,wall_seconds,cpu_seconds,coordinator_seconds,stdout_sha256
single,True,0,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,4,0.274490667,0.0867729999999999,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,0,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.078559244,0.0792499999999994,0.024,075debee36d8dade65c840b4443ef75f83f39a7ca38e65bae7565930f0d2e10a
single,True,0,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.077944469,0.07810600000000059,0.023,f2b72aa5f91aa5c656c77dcfcd03a059c9dbfa5d9ee6076c4bd8769f7099c21f
single,True,0,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,2,0.076847878,0.07632700000000037,0.023,f2b72aa5f91aa5c656c77dcfcd03a059c9dbfa5d9ee6076c4bd8769f7099c21f
single,True,0,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,3,0.082119977,0.08187900000000026,0.028,c5b14f581ae20e302f011d5960693fabee408778842eb08316ae018b2e1c986f
single,True,0,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,4,0.07788456,0.07812699999999978,0.023,f2b72aa5f91aa5c656c77dcfcd03a059c9dbfa5d9ee6076c4bd8769f7099c21f
single,True,1,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.078012747,0.07847300000000046,0.024,075debee36d8dade65c840b4443ef75f83f39a7ca38e65bae7565930f0d2e10a
single,True,1,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.078063427,0.07830499999999929,0.024,075debee36d8dade65c840b4443ef75f83f39a7ca38e65bae7565930f0d2e10a
single,True,1,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,2,0.092615968,0.08234500000000003,0.038,00651b08891f18822d6c41e6f81c31c953df9dc4c71e359e5d55893a32702cdf
single,True,1,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,3,0.087277922,0.08675900000000006,0.024,075debee36d8dade65c840b4443ef75f83f39a7ca38e65bae7565930f0d2e10a
single,True,1,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,4,0.086852901,0.08579200000000015,0.024,075debee36d8dade65c840b4443ef75f83f39a7ca38e65bae7565930f0d2e10a
single,True,1,1,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.262552451,0.08198399999999922,0.208,efad75f7dd20945993bd4baf10ce17b504115f1bb9a9657a515b2d3664e6de72
single,True,1,1,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.261102048,0.08199999999999974,0.206,49081b0110756e1661184842aeef9574f803989c0c2436f6e73fa7eaadce845a
